bid,rowNum
"""Nk-SJhPlDBkAZvfsADtccA""",1
"""SZU9c8V2GuREDN5KgyHFJw""",2
"""4OLfgjPToHrYf4HKXvlU2g""",3
"""368cyArdo0P0aDUOhhE4PA""",4
"""jTFl9Cr7RqZqwjH-CI1ZPw""",5
"""Ghn6flCdNlOchzLA29tkjQ""",6
"""LoyKBRN2Sp3J8AuVqD8Kug""",7
"""-1PG6k_iezwJmRZLB7f6og""",8
"""I5jxUHS1Dp2rg40eDzyiCA""",9
"""rKx-J2H54p2eZIdn8JvJuA""",10
"""7GSOAWAlmIvKdbAVFBL_Cw""",11
"""5zqvErekexa_89W6-6uZ4g""",12
"""ImO3aF_axcKe5pwFf-jQeQ""",13
"""R32_LaNcLXyS2-dtrcuBGw""",14
"""sr-5EY6bmp4jINhea06MjA""",15
"""MMpLUBcUOnmTPliIeX40VQ""",16
"""XuQ5ekbJ9eRUX06JTqJHaQ""",17
"""fmFiSeSGjaA8KI-xHB5Xxg""",18
"""xZKhj_0PWf9F0ubRyFG5og""",19
"""mF8czpMukj36ovHb3lGSeg""",20
"""V9XlikTxq0My4gE8LULsjw""",21
"""u3aN2A8Lo9odMCYjaphjLA""",22
"""vUrTGX_7HxqeoQ_6QCVz6g""",23
"""LImOqXSWUq-E_eNZhTUzmQ""",24
"""eGFnSmJ2-t4dpyr8GFJI9g""",25
"""c4T4fWfNdnlyOgBN0a5JFA""",26
"""H1bbYNKgk6JF9pKcBXyDXw""",27
"""dQPccM6B0MyuYJpx7DXlaA""",28
"""90pJu2O7fIEm_N31Fyue7A""",29
"""f2kxNoOEdL3bAi_p2UrWxw""",30
"""jN5vIPSJsWt7O9NL9lZY3w""",31
"""Z4qfMpj8jymG3_XjTBKN0A""",32
"""K5WTakHfyimdWZ87QJJPUg""",33
"""qEcgemvSCGUFRKPS3lt3pw""",34
"""Rx5lfHMWkezmQjCfr2ziAw""",35
"""KH9ghKDytIlUwlkEioqreg""",36
"""SkEr3iGr9x5aw7Dh5bOtxg""",37
"""vtUoFOyhekVSVp5Y-I8ULw""",38
"""pcy24IuPvHpj3bHvP6EitA""",39
"""f0Vqfu1dKzWE0QRnJHO3-A""",40
"""M1BDVcmq7s8pox_YRdPxqw""",41
"""64jKdxGGwfHx4rutBBKWBQ""",42
"""xdferXKwbgXAxbtmAShhAQ""",43
"""bm5bUN_YFUuudlqhr2rG4g""",44
"""ewYO_Kx6Zdys-X81YgHkyw""",45
"""HTgKfmmlzgE43trhntv8-w""",46
"""Pb5agnsD9EdCl6yuZp2jJA""",47
"""OFTQjAsmZsRAnXeHDhlF6Q""",48
"""VgAKmXE8B7J0I_O_R13UKQ""",49
"""pKAWS_PiZub_PpFot6VrVw""",50
"""G0QmHV7w2Sil4Xj7LJFsLA""",51
"""tHlEq_yvHuutJ4UxxEeMEg""",52
"""XKevywsd9Br4YDcd7IC2-w""",53
"""q1LlkxzJ1VEzKedgPrcDlw""",54
"""TaYzef5Sv6b_-JdhRtaqhg""",55
"""RhHgs35Ci_ClHIiPD-TaMA""",56
"""H1ZTsd_d-wvunsT3ZmoBvg""",57
"""E9-k8aOCS2sSh9RYxvWU_A""",58
"""ZH_9EW1xF1FnjZ0Dj2BS-Q""",59
"""9Uczm0SLoHhopacyKf3-1g""",60
"""_UOg5_pk9IhKee91eWrT4A""",61
"""gTKoJH4BWX67pVu-bRdsmw""",62
"""inpHHalmEPkTMBg9yOWfLg""",63
"""3YERGr7UbpSpddqL0Eiu5g""",64
"""ft6I8fOrKQtVdM_trVXk8A""",65
"""aY_n9RSaD2Yw09jSFFePew""",66
"""992we6r16q8pZQxpjgN90Q""",67
"""xq7g2AzTzVLCv72NtnCEWA""",68
"""punjQyM6mXEIfvWyYVBa2Q""",69
"""jN5vIPSJsWt7O9NL9lZY3w""",70
"""hR48gsFU8aHOjNbYm987jA""",71
"""YCHBSWYErsKAI9AXeoPxhQ""",72
"""fgTOJRkc703E4XRdcr5zRA""",73
"""HTgKfmmlzgE43trhntv8-w""",74
"""bg4byZlEDCUVbC16VHxjlA""",75
"""KTsB7DO-kXVcy23Ds7_PFA""",76
"""RtmrqFKEtcJJdUkQEiSqDw""",77
"""NfUKLEcnR5c0cLnztw19IA""",78
"""ovO8wVp7Sh5k30TnB--rHA""",79
"""DVBJRvnCpkqaYl6nHroaMg""",80
"""jziliEq8Zum-EynD5v-Hvg""",81
"""u-pogbWQ-Hwl6qTQjVIAOQ""",82
"""VGYWVWwuuNRzI2UcSNIw2g""",83
"""8KBDQlSdjJ-NoLbpPvkOrw""",84
"""gLaxSkjWzt25hybkaKwQcA""",85
"""FEXhWNCMkv22qG04E83Qjg""",86
"""8KBDQlSdjJ-NoLbpPvkOrw""",87
"""mYLrscwJfSJIlEyN57Lh6w""",88
"""LACylKxImNI29DKUQpWuHw""",89
"""Yyn4z5ZysBDYCXfTFzflaQ""",90
"""zG6YSl5XQsnQ9iHkIH_jRA""",91
"""Ac0W0fBY0WRQ8LqdCRXUAQ""",92
"""ChlcxTEoWBQJXJ2Xb2vm5g""",93
"""MSHk4H_8PvNEgwfAtGYEDQ""",94
"""wA5wJHteesfV3Z6TuATBtg""",95
"""ku8cAVBLaF_4rI-yK6gNnQ""",96
"""zWDESCEtvhzpi8YRXaukNA""",97
"""zsbhf9C1VGNq7vIZ164YVw""",98
"""dO4iyNK2KzLMe1kXLCskbw""",99
"""EBfiJ_YqFij5rKbzyJC9tw""",100
"""NSjjM0J5hvm1X5J5hb7vJQ""",101
"""qb28j-FNX1_6xm7u372TZA""",102
"""_78Lam9Jd0W6ZmnHTvdjMg""",103
"""bn2jWrB_aXdQP4YoyUVVIQ""",104
"""yeHLiKNp0hyR-ig4M6us-w""",105
"""Reisb6UNzi1BIloVWEG81g""",106
"""ImO3aF_axcKe5pwFf-jQeQ""",107
"""5436KvwrJOTZzhNYEhcK-g""",108
"""cg4JFJcCxRTTMmcg9O9KtA""",109
"""EQ-TZ2eeD_E0BHuvoaeG5Q""",110
"""pXQLCX9N9WvkzXwyVJtcdg""",111
"""IRyKDIF51M0GcqS8yfPcYA""",112
"""FBqYnP7H3TMHYQvafuBTSA""",113
"""radib3GHt_Up9-zhUjM1ew""",114
"""AGlh4ZDv6jnoiYfz7At9mw""",115
"""2SS5SaG9mLzNUbWza4185g""",116
"""JIo1b0tAwoMQxbjvBXc_zw""",117
"""SIc1YcqUBMdXO3LxgCur2g""",118
"""LM54ufrINJWoTN5imV8Etw""",119
"""IS0B5nLJPluVT8NwGgospA""",120
"""XeLAOIv2Ky1wyzIjoTa3Mg""",121
"""wCxiDaOI0LVWdqUEWoPv_A""",122
"""ERl6OCSEIFBOqfjai_jIUg""",123
"""hgdh0gKSczCIjLikWtZpGg""",124
