bid,row num
7PUidqRWpRSpXebiyxTg,1
0TffRSXXIlBYVbb5AwfTg,2
0epFLgYq2C1Jo_W4FOBKw,3
0jzoPt3UeXn6FUXVQvyPg,4
1MhPXk1FglglUAmuPLIGg,5
1PG6k_iezwJmRZLB7f6og,6
1PvWminK3Er7fqpTjk19A,7
1owBLC2h6DF5n_j77oq3g,8
2Axhv9AZ_n7qjQefECpVw,9
2BDt9OdGiBONysWCdKgNg,10
2KK9cqa26KZ1xrfOm9A7w,11
2VYztMXVorktljCdQNPmQ,12
2WAq2pOLnc4__lPy6kvoQ,13
2ke_JDOpgTZWqirMFjZcw,14
36BB10tIWNKGEF0Es2BA,15
3725FZiIIYdwQtM4MKEIA,16
3AooxIkg38UyUdlz5oXdw,17
3GD07waps96fB_okEwFqw,18
3IOd5YntpkbK6RwT3HYtA,19
40qQXB8JsneSiDqXMjoeg,20
49YlJ2GGzgmQ71FX9gGyg,21
4E0hSCldRJZLI1cT38Sw,22
4J6iW94f7qhnwmp4Z9bdg,23
4lNMmoW7gRxkH0c2dfXfA,24
5ivHc7R7F_fHxTtxGvlgA,25
6OjnX3ZdDOhHxWR60wysg,26
6TttC1rf5gC0QHWrs_w,27
6kNhGurAbdNQanqbAaoMg,28
7GDqSUaXrpC8Ql7nDBxWA,29
7KAng29RoHr87mvOFbK9w,30
7wXZWnKe26iwJY_5z_AAw,31
8_ufROuDzIWxFAny4FasQ,32
8gGD85_jZvapnmb3EvU3w,33
8iATYRnN46Km0_ldx6cg,34
8jIGHKz1Tnv2X85kxbvQ,35
951Q5ifJmCQbO40meVPw,36
97632CUoOkJ8x4AlkPJxQ,37
99CauTgdResVER5NvRTfw,38
9rRsa_9GTkSYkPdKa7T8A,39
9w_8PChjtA42yGN4yoDRw,40
BFrwPGCH22kRPvFrFk4Q,41
F30mTCP0dUr_mm57NxUQ,42
JStjL8mRZq4ov4uI1FaQ,43
Uxhjv9aZqE2VDGXo4Iw,44
Wg4lsLfS3etcFDz6GPpw,45
ZXjWCTxItm3wPkgsf8zQ,46
a0kKyJPMw8z5AjfQstTw,47
bxLBGgtchdO62CdDThA,48
c6hc8kxFzeaIKoM6nWSQ,49
ee5czr21mfEJGrbZ572Q,50
gJ3m24voBGR8fS_hQN9A,51
gx2zqPkSs7aGZ01bDb7A,52
jkc0YYvwkBaNnNyiUHNg,53
ltRJORr7MhOh7g48HQwg,54
r3NgzSEUuVjV9PLI2ssQ,55
r6AXDYz2rG6wclu5rZuw,56
r6nmLB5Vi2TLQCxh0_dtw,57
uzQNt3jsRK5okUuJiQLA,58
z488XvNmHIn3yv3N13oA,59
zH421AauJru4EFs7Rgw,60
09PkkpEM53bTgUQols9g,61
0BLZd37lMUODMuYAtKgkA,62
0JRAY0LpBazDuA9761U5w,63
0PClaUWGphUvuTH8wQ51w,64
0XYsSxJhu8ayKx1f3v_tA,65
0evjpRKnht75t9J3NE8Zw,66
0kdvVEyfkusVeWQVC5mqw,67
000idd3sMexavEppbUqHg,68
008FLyatMEsZzmmKALIgDg,69
00rIcvqmfci_oJWkOqPqmg,70
00rY5F9ltWIWf2Ev96kOg,71
00sOoojttpdZljH8VgOU0A,72
0171xkyBr0rxKRGVIBGmeQ,73
01FJ5If8zeDaURdjP57eA,74
01Vnpln40zgSK6H6pAcd5Q,75
01_VHKfqXzMXpnCm8Y_InQ,76
01ikDdFTvc2YXeyvYXjg,77
02Kx1YpAx6jm2AFKGHd4rg,78
02PoEXj8TR7FQZvUV48o8w,79
02euPBQRCGkdt2AnJQzJUQ,80
02exrrOiVaTnrRXQGaYCDA,81
